order_item_id,order_id,product_id,quantity,unit_price,line_total
OI000110,ORD000067,PROD0019,1,2469,2469
OI000111,ORD000068,PROD0031,1,1129,1129
OI000112,ORD000069,PROD0024,3,889,2667
OI000113,ORD000070,PROD0018,1,1959,1959
OI000114,ORD000070,PROD0014,1,2179,2179
OI000115,ORD000071,PROD0016,1,309,309
OI000116,ORD000071,PROD0015,1,879,879
OI000117,ORD000071,PROD0036,1,129,129
OI000118,ORD000072,PROD0012,1,989,989
OI000119,ORD000073,PROD0036,1,129,129
OI000120,ORD000074,PROD0017,2,3049,6098
OI000121,ORD000075,PROD0028,1,569,569
OI000122,ORD000076,PROD0007,1,4319,4319
OI000123,ORD000076,PROD0010,1,2449,2449
OI000124,ORD000077,PROD0011,2,2119,4238
OI000125,ORD000077,PROD0016,1,309,309
OI000126,ORD000078,PROD0006,1,3799,3799
OI000127,ORD000079,PROD0022,2,1659,3318
OI000128,ORD000079,PROD0037,1,189,189
OI000129,ORD000080,PROD0030,1,2669,2669
OI000130,ORD000080,PROD0021,1,549,549
OI000131,ORD000081,PROD0007,1,4319,4319
OI000132,ORD000082,PROD0018,1,1959,1959
OI000133,ORD000083,PROD0025,1,409,409
OI000134,ORD000084,PROD0031,1,1129,1129
OI000135,ORD000084,PROD0007,1,4319,4319
OI000136,ORD000085,PROD0018,1,1959,1959
OI000137,ORD000086,PROD0023,1,2179,2179
OI000138,ORD000087,PROD0018,3,1959,5877
OI000139,ORD000088,PROD0013,1,549,549
OI000140,ORD000089,PROD0008,1,4749,4749
OI000141,ORD000089,PROD0018,1,1959,1959
OI000142,ORD000089,PROD0003,1,2559,2559
OI000143,ORD000089,PROD0022,1,1659,1659
OI000144,ORD000090,PROD0034,1,629,629
OI000145,ORD000090,PROD0037,1,189,189
OI000146,ORD000091,PROD0016,1,309,309
OI000147,ORD000091,PROD0026,1,319,319
OI000148,ORD000092,PROD0028,1,569,569
OI000149,ORD000092,PROD0019,1,2469,2469
OI000150,ORD000092,PROD0014,1,2179,2179
OI000151,ORD000093,PROD0032,1,1119,1119
OI000152,ORD000093,PROD0029,1,509,509
OI000153,ORD000094,PROD0012,1,989,989
OI000154,ORD000094,PROD0002,1,3029,3029
OI000155,ORD000094,PROD0022,1,1659,1659
OI000156,ORD000095,PROD0004,1,1199,1199
OI000157,ORD000096,PROD0029,2,509,1018
OI000158,ORD000097,PROD0012,1,989,989
OI000159,ORD000098,PROD0038,1,459,459
OI000160,ORD000099,PROD0009,1,1599,1599
OI000161,ORD000100,PROD0012,1,989,989
OI000162,ORD000100,PROD0002,1,3029,3029
OI000163,ORD000101,PROD0027,1,399,399
OI000164,ORD000101,PROD0008,1,4749,4749
OI000165,ORD000102,PROD0011,1,2119,2119
OI000166,ORD000103,PROD0023,1,2179,2179
OI000167,ORD000103,PROD0027,1,399,399
OI000168,ORD000104,PROD0019,1,2469,2469
OI000169,ORD000105,PROD0011,2,2119,4238
OI000170,ORD000105,PROD0038,3,459,1377
OI000171,ORD000106,PROD0016,1,309,309
OI000172,ORD000107,PROD0019,1,2469,2469
OI000173,ORD000108,PROD0002,1,3029,3029
OI000174,ORD000109,PROD0009,2,1599,3198
OI000175,ORD000110,PROD0017,1,3049,3049
OI000176,ORD000110,PROD0038,1,459,459
OI000177,ORD000111,PROD0005,3,4119,12357
OI000178,ORD000112,PROD0008,1,4749,4749
OI000179,ORD000113,PROD0021,1,549,549
OI000180,ORD000114,PROD0032,1,1119,1119
OI000181,ORD000115,PROD0027,1,399,399
OI000182,ORD000115,PROD0018,2,1959,3918
OI000183,ORD000116,PROD0027,1,399,399
OI000184,ORD000117,PROD0035,1,69,69
OI000185,ORD000117,PROD0020,1,1939,1939
OI000186,ORD000117,PROD0001,1,4529,4529
OI000187,ORD000117,PROD0032,1,1119,1119
OI000188,ORD000118,PROD0012,1,989,989
OI000189,ORD000118,PROD0005,1,4119,4119
OI000190,ORD000118,PROD0015,1,879,879
OI000191,ORD000119,PROD0026,1,319,319
OI000192,ORD000120,PROD0031,1,1129,1129
OI000193,ORD000121,PROD0019,1,2469,2469
OI000194,ORD000122,PROD0018,1,1959,1959
OI000195,ORD000122,PROD0007,1,4319,4319
OI000196,ORD000122,PROD0014,1,2179,2179
OI000197,ORD000122,PROD0008,1,4749,4749
OI000198,ORD000123,PROD0032,3,1119,3357
OI000199,ORD000123,PROD0020,1,1939,1939
OI000200,ORD000123,PROD0028,1,569,569
OI000201,ORD000124,PROD0025,1,409,409
OI000202,ORD000125,PROD0011,1,2119,2119
OI000203,ORD000126,PROD0031,1,1129,1129
OI000204,ORD000127,PROD0029,1,509,509
OI000205,ORD000127,PROD0037,2,189,378
OI000206,ORD000128,PROD0032,1,1119,1119
OI000207,ORD000129,PROD0032,1,1119,1119
OI000208,ORD000129,PROD0027,1,399,399
OI000209,ORD000130,PROD0035,1,69,69
OI000210,ORD000131,PROD0002,1,3029,3029
OI000211,ORD000132,PROD0004,1,1199,1199
OI000212,ORD000132,PROD0034,1,629,629
OI000213,ORD000133,PROD0023,1,2179,2179
OI000214,ORD000134,PROD0009,1,1599,1599
OI000215,ORD000134,PROD0037,2,189,378
OI000216,ORD000135,PROD0002,1,3029,3029
OI000217,ORD000136,PROD0013,1,549,549
OI000218,ORD000137,PROD0020,1,1939,1939
OI000219,ORD000138,PROD0024,1,889,889
OI000220,ORD000139,PROD0009,1,1599,1599
OI000221,ORD000140,PROD0014,1,2179,2179
OI000222,ORD000140,PROD0013,1,549,549
OI000223,ORD000140,PROD0030,1,2669,2669
OI000224,ORD000140,PROD0021,1,549,549
OI000225,ORD000141,PROD0035,1,69,69
OI000226,ORD000141,PROD0006,1,3799,3799
OI000227,ORD000142,PROD0029,1,509,509
OI000228,ORD000143,PROD0009,1,1599,1599
OI000229,ORD000143,PROD0033,1,2249,2249
OI000230,ORD000144,PROD0035,1,69,69
OI000231,ORD000144,PROD0018,1,1959,1959
OI000232,ORD000145,PROD0016,2,309,618
OI000233,ORD000145,PROD0006,2,3799,7598
OI000234,ORD000146,PROD0003,1,2559,2559
OI000235,ORD000146,PROD0023,1,2179,2179
OI000236,ORD000147,PROD0026,1,319,319
OI000237,ORD000148,PROD0002,1,3029,3029
OI000238,ORD000148,PROD0007,1,4319,4319
OI000239,ORD000149,PROD0007,1,4319,4319
OI000240,ORD000150,PROD0008,3,4749,14247
OI000241,ORD000151,PROD0029,1,509,509
OI000242,ORD000151,PROD0001,1,4529,4529
OI000243,ORD000152,PROD0017,1,3049,3049
OI000244,ORD000153,PROD0030,1,2669,2669
OI000245,ORD000153,PROD0022,1,1659,1659
OI000246,ORD000154,PROD0028,2,569,1138
OI000247,ORD000155,PROD0014,1,2179,2179
OI000248,ORD000155,PROD0035,2,69,138
OI000249,ORD000156,PROD0023,1,2179,2179
OI000250,ORD000156,PROD0013,1,549,549
OI000251,ORD000157,PROD0024,1,889,889
OI000252,ORD000157,PROD0007,1,4319,4319
OI000253,ORD000157,PROD0022,3,1659,4977
OI000254,ORD000158,PROD0038,1,459,459
OI000255,ORD000159,PROD0031,1,1129,1129
OI000256,ORD000159,PROD0038,2,459,918
OI000257,ORD000160,PROD0031,1,1129,1129
OI000258,ORD000161,PROD0029,1,509,509
OI000259,ORD000161,PROD0018,1,1959,1959
OI000260,ORD000161,PROD0025,1,409,409
OI000261,ORD000161,PROD0003,3,2559,7677
OI000262,ORD000162,PROD0018,1,1959,1959
OI000263,ORD000162,PROD0008,1,4749,4749
OI000264,ORD000163,PROD0015,1,879,879
OI000265,ORD000163,PROD0008,1,4749,4749
OI000266,ORD000164,PROD0012,3,989,2967
OI000267,ORD000164,PROD0026,2,319,638
OI000268,ORD000165,PROD0034,3,629,1887
OI000269,ORD000165,PROD0030,3,2669,8007
OI000270,ORD000166,PROD0037,1,189,189
OI000271,ORD000167,PROD0006,1,3799,3799
OI000272,ORD000167,PROD0034,1,629,629
OI000273,ORD000168,PROD0025,1,409,409
OI000274,ORD000169,PROD0020,1,1939,1939
OI000275,ORD000170,PROD0004,1,1199,1199
OI000276,ORD000170,PROD0009,1,1599,1599
OI000277,ORD000171,PROD0030,1,2669,2669
OI000278,ORD000172,PROD0035,1,69,69
OI000279,ORD000173,PROD0001,1,4529,4529
OI000280,ORD000173,PROD0015,1,879,879
OI000281,ORD000174,PROD0027,1,399,399
OI000282,ORD000175,PROD0028,1,569,569
OI000283,ORD000176,PROD0009,1,1599,1599
OI000284,ORD000176,PROD0024,1,889,889
OI000285,ORD000177,PROD0019,1,2469,2469
OI000286,ORD000177,PROD0017,1,3049,3049
OI000287,ORD000178,PROD0015,1,879,879
OI000288,ORD000179,PROD0029,1,509,509
OI000289,ORD000180,PROD0031,2,1129,2258
OI000290,ORD000180,PROD0006,1,3799,3799
OI000291,ORD000181,PROD0008,1,4749,4749
OI000292,ORD000181,PROD0036,1,129,129
OI000293,ORD000182,PROD0015,2,879,1758
OI000294,ORD000182,PROD0036,1,129,129
OI000295,ORD000183,PROD0024,1,889,889
OI000296,ORD000184,PROD0029,1,509,509
OI000297,ORD000184,PROD0018,1,1959,1959
OI000298,ORD000185,PROD0012,1,989,989
OI000299,ORD000186,PROD0015,1,879,879
OI000300,ORD000186,PROD0034,1,629,629
OI000301,ORD000187,PROD0020,1,1939,1939
OI000302,ORD000188,PROD0031,1,1129,1129
OI000303,ORD000189,PROD0030,1,2669,2669
OI000304,ORD000190,PROD0030,3,2669,8007
OI000305,ORD000191,PROD0033,1,2249,2249
OI000306,ORD000192,PROD0025,1,409,409
OI000307,ORD000192,PROD0003,1,2559,2559
OI000308,ORD000192,PROD0030,1,2669,2669
OI000309,ORD000193,PROD0019,1,2469,2469
OI000310,ORD000194,PROD0036,1,129,129
OI000311,ORD000195,PROD0014,1,2179,2179
OI000312,ORD000196,PROD0021,1,549,549
OI000313,ORD000196,PROD0013,1,549,549
OI000314,ORD000197,PROD0012,1,989,989
OI000315,ORD000198,PROD0018,1,1959,1959
OI000316,ORD000198,PROD0010,1,2449,2449
OI000317,ORD000199,PROD0008,1,4749,4749
OI000318,ORD000200,PROD0025,1,409,409
OI000319,ORD000201,PROD0012,2,989,1978
OI000320,ORD000202,PROD0037,2,189,378
OI000321,ORD000203,PROD0018,1,1959,1959
OI000322,ORD000203,PROD0029,1,509,509
OI000323,ORD000204,PROD0005,1,4119,4119
OI000324,ORD000204,PROD0027,1,399,399
OI000325,ORD000205,PROD0021,1,549,549
OI000326,ORD000206,PROD0011,1,2119,2119
OI000327,ORD000207,PROD0034,1,629,629
OI000328,ORD000208,PROD0024,3,889,2667
OI000329,ORD000208,PROD0015,1,879,879
OI000330,ORD000208,PROD0007,1,4319,4319
OI000331,ORD000208,PROD0023,3,2179,6537
OI000332,ORD000209,PROD0004,1,1199,1199
OI000333,ORD000209,PROD0036,1,129,129
OI000334,ORD000209,PROD0023,2,2179,4358
OI000335,ORD000210,PROD0001,1,4529,4529
OI000336,ORD000210,PROD0011,1,2119,2119
OI000337,ORD000211,PROD0001,1,4529,4529
OI000338,ORD000212,PROD0011,1,2119,2119
OI000339,ORD000212,PROD0014,2,2179,4358
OI000340,ORD000213,PROD0022,1,1659,1659
OI000341,ORD000214,PROD0013,1,549,549
OI000342,ORD000214,PROD0002,1,3029,3029
OI000343,ORD000215,PROD0008,1,4749,4749
OI000344,ORD000215,PROD0014,1,2179,2179
OI000345,ORD000216,PROD0023,2,2179,4358
OI000346,ORD000217,PROD0016,1,309,309
OI000347,ORD000218,PROD0014,1,2179,2179
OI000348,ORD000219,PROD0008,1,4749,4749
OI000349,ORD000220,PROD0025,1,409,409
OI000350,ORD000221,PROD0009,1,1599,1599
OI000351,ORD000222,PROD0002,1,3029,3029
OI000352,ORD000222,PROD0017,1,3049,3049
OI000353,ORD000222,PROD0004,2,1199,2398
OI000354,ORD000223,PROD0001,1,4529,4529
OI000355,ORD000224,PROD0038,1,459,459
OI000356,ORD000224,PROD0006,1,3799,3799
OI000357,ORD000225,PROD0007,1,4319,4319
OI000358,ORD000225,PROD0020,1,1939,1939
OI000359,ORD000226,PROD0009,1,1599,1599
OI000360,ORD000227,PROD0011,1,2119,2119
OI000361,ORD000228,PROD0025,1,409,409
OI000362,ORD000229,PROD0020,1,1939,1939
OI000363,ORD000230,PROD0012,1,989,989
OI000364,ORD000230,PROD0022,1,1659,1659
OI000365,ORD000231,PROD0026,2,319,638
OI000366,ORD000231,PROD0009,1,1599,1599
OI000367,ORD000232,PROD0032,1,1119,1119
OI000368,ORD000232,PROD0008,1,4749,4749
OI000369,ORD000232,PROD0003,1,2559,2559
OI000370,ORD000233,PROD0009,1,1599,1599
OI000371,ORD000234,PROD0016,1,309,309
OI000372,ORD000234,PROD0035,1,69,69
OI000373,ORD000235,PROD0028,3,569,1707
OI000374,ORD000235,PROD0007,1,4319,4319
OI000375,ORD000236,PROD0036,1,129,129
OI000376,ORD000237,PROD0008,2,4749,9498
OI000377,ORD000238,PROD0014,1,2179,2179
OI000378,ORD000238,PROD0003,2,2559,5118
OI000379,ORD000239,PROD0030,3,2669,8007
OI000380,ORD000240,PROD0022,2,1659,3318
OI000381,ORD000240,PROD0001,1,4529,4529
OI000382,ORD000241,PROD0027,1,399,399
OI000383,ORD000242,PROD0029,1,509,509
OI000384,ORD000243,PROD0037,1,189,189
OI000385,ORD000244,PROD0022,1,1659,1659
OI000386,ORD000244,PROD0032,1,1119,1119
OI000387,ORD000244,PROD0002,1,3029,3029
OI000388,ORD000245,PROD0007,1,4319,4319
OI000389,ORD000246,PROD0033,1,2249,2249
OI000390,ORD000247,PROD0004,1,1199,1199
OI000391,ORD000247,PROD0028,1,569,569
OI000392,ORD000248,PROD0038,1,459,459
OI000393,ORD000249,PROD0014,1,2179,2179
OI000394,ORD000250,PROD0016,1,309,309
OI000395,ORD000251,PROD0007,1,4319,4319
OI000396,ORD000251,PROD0032,1,1119,1119
OI000397,ORD000252,PROD0024,1,889,889
OI000398,ORD000253,PROD0036,1,129,129
OI000399,ORD000254,PROD0037,1,189,189
OI000400,ORD000254,PROD0002,2,3029,6058
OI000401,ORD000255,PROD0010,1,2449,2449
OI000402,ORD000256,PROD0035,2,69,138
OI000403,ORD000257,PROD0028,1,569,569
OI000404,ORD000258,PROD0021,1,549,549
OI000405,ORD000259,PROD0021,1,549,549
OI000406,ORD000260,PROD0006,1,3799,3799
OI000407,ORD000260,PROD0018,1,1959,1959
OI000408,ORD000261,PROD0019,1,2469,2469
OI000409,ORD000261,PROD0009,1,1599,1599
OI000410,ORD000262,PROD0010,1,2449,2449
OI000411,ORD000263,PROD0028,1,569,569
OI000412,ORD000264,PROD0002,1,3029,3029
OI000413,ORD000265,PROD0018,2,1959,3918
OI000414,ORD000266,PROD0018,1,1959,1959
OI000415,ORD000267,PROD0002,1,3029,3029
OI000416,ORD000268,PROD0006,1,3799,3799
OI000417,ORD000269,PROD0011,1,2119,2119
OI000418,ORD000269,PROD0038,3,459,1377
OI000419,ORD000270,PROD0036,1,129,129
OI000420,ORD000270,PROD0038,1,459,459
OI000421,ORD000271,PROD0022,1,1659,1659
OI000422,ORD000271,PROD0028,1,569,569
OI000423,ORD000271,PROD0020,1,1939,1939
OI000424,ORD000272,PROD0026,1,319,319
OI000425,ORD000272,PROD0009,1,1599,1599
OI000426,ORD000273,PROD0031,1,1129,1129
OI000427,ORD000274,PROD0016,1,309,309
OI000428,ORD000275,PROD0025,1,409,409
OI000429,ORD000276,PROD0036,2,129,258
OI000430,ORD000276,PROD0020,1,1939,1939
OI000431,ORD000277,PROD0016,1,309,309
OI000432,ORD000278,PROD0011,1,2119,2119
OI000433,ORD000279,PROD0005,3,4119,12357
OI000434,ORD000280,PROD0030,1,2669,2669
OI000435,ORD000280,PROD0032,1,1119,1119
OI000436,ORD000281,PROD0019,1,2469,2469
OI000437,ORD000282,PROD0013,1,549,549
OI000438,ORD000283,PROD0028,2,569,1138
OI000439,ORD000283,PROD0018,1,1959,1959
OI000440,ORD000284,PROD0010,2,2449,4898
OI000441,ORD000285,PROD0010,1,2449,2449
OI000442,ORD000286,PROD0032,1,1119,1119
OI000443,ORD000287,PROD0036,1,129,129
OI000444,ORD000288,PROD0001,1,4529,4529
OI000445,ORD000289,PROD0021,1,549,549
OI000446,ORD000290,PROD0005,1,4119,4119
OI000447,ORD000291,PROD0010,1,2449,2449
OI000448,ORD000292,PROD0032,2,1119,2238
OI000449,ORD000293,PROD0025,1,409,409
OI000450,ORD000294,PROD0031,2,1129,2258
OI000451,ORD000295,PROD0031,1,1129,1129
OI000452,ORD000296,PROD0013,1,549,549
OI000453,ORD000297,PROD0005,1,4119,4119
OI000454,ORD000298,PROD0013,1,549,549
OI000455,ORD000299,PROD0036,2,129,258
OI000456,ORD000300,PROD0030,1,2669,2669
OI000457,ORD000300,PROD0012,1,989,989
OI000458,ORD000300,PROD0024,1,889,889
OI000459,ORD000301,PROD0007,1,4319,4319
OI000460,ORD000302,PROD0025,1,409,409
OI000461,ORD000303,PROD0023,1,2179,2179
OI000462,ORD000304,PROD0007,1,4319,4319
OI000463,ORD000305,PROD0025,1,409,409
OI000464,ORD000305,PROD0037,1,189,189
OI000465,ORD000306,PROD0030,1,2669,2669
OI000466,ORD000306,PROD0011,1,2119,2119
OI000467,ORD000307,PROD0006,1,3799,3799
OI000468,ORD000308,PROD0030,2,2669,5338
OI000469,ORD000309,PROD0029,1,509,509
OI000470,ORD000309,PROD0007,2,4319,8638
OI000471,ORD000309,PROD0019,1,2469,2469
OI000472,ORD000310,PROD0030,1,2669,2669
OI000473,ORD000311,PROD0005,1,4119,4119
OI000474,ORD000311,PROD0002,1,3029,3029
OI000475,ORD000312,PROD0037,1,189,189
OI000476,ORD000312,PROD0012,1,989,989
OI000477,ORD000313,PROD0025,1,409,409
OI000478,ORD000314,PROD0031,1,1129,1129
OI000479,ORD000315,PROD0016,3,309,927
OI000480,ORD000316,PROD0020,1,1939,1939
OI000481,ORD000317,PROD0010,1,2449,2449
OI000482,ORD000318,PROD0014,3,2179,6537
OI000483,ORD000318,PROD0016,1,309,309
OI000484,ORD000318,PROD0012,1,989,989
OI000485,ORD000319,PROD0021,2,549,1098
OI000486,ORD000320,PROD0010,2,2449,4898
OI000487,ORD000320,PROD0033,1,2249,2249
OI000488,ORD000320,PROD0004,1,1199,1199
OI000489,ORD000321,PROD0016,1,309,309
OI000490,ORD000322,PROD0008,1,4749,4749
OI000491,ORD000323,PROD0030,1,2669,2669
OI000492,ORD000324,PROD0027,3,399,1197
OI000493,ORD000325,PROD0016,1,309,309
OI000494,ORD000326,PROD0033,1,2249,2249
OI000495,ORD000326,PROD0029,1,509,509
OI000496,ORD000326,PROD0037,1,189,189
OI000497,ORD000327,PROD0035,1,69,69
OI000498,ORD000328,PROD0012,1,989,989
OI000499,ORD000329,PROD0005,1,4119,4119
OI000500,ORD000329,PROD0020,1,1939,1939
OI000501,ORD000329,PROD0030,1,2669,2669
OI000502,ORD000330,PROD0018,2,1959,3918
OI000503,ORD000331,PROD0017,2,3049,6098
OI000504,ORD000332,PROD0005,2,4119,8238
OI000505,ORD000333,PROD0004,1,1199,1199
OI000506,ORD000334,PROD0007,1,4319,4319
OI000507,ORD000334,PROD0030,1,2669,2669
OI000508,ORD000335,PROD0011,3,2119,6357
OI000509,ORD000336,PROD0001,1,4529,4529
OI000510,ORD000337,PROD0023,1,2179,2179
OI000511,ORD000338,PROD0019,1,2469,2469
OI000512,ORD000338,PROD0023,1,2179,2179
OI000513,ORD000339,PROD0015,1,879,879
OI000514,ORD000340,PROD0011,1,2119,2119
OI000515,ORD000340,PROD0006,1,3799,3799
OI000516,ORD000340,PROD0026,2,319,638
OI000517,ORD000340,PROD0015,1,879,879
OI000518,ORD000341,PROD0025,1,409,409
OI000519,ORD000342,PROD0036,1,129,129
OI000520,ORD000342,PROD0003,1,2559,2559
OI000521,ORD000342,PROD0031,1,1129,1129
OI000522,ORD000343,PROD0019,1,2469,2469
OI000523,ORD000344,PROD0014,1,2179,2179
OI000524,ORD000345,PROD0016,1,309,309
OI000525,ORD000346,PROD0024,2,889,1778
OI000526,ORD000346,PROD0021,1,549,549
OI000527,ORD000347,PROD0029,1,509,509
OI000528,ORD000347,PROD0035,1,69,69
OI000529,ORD000348,PROD0016,1,309,309
OI000530,ORD000349,PROD0029,3,509,1527
OI000531,ORD000349,PROD0033,1,2249,2249
OI000532,ORD000350,PROD0032,1,1119,1119
OI000533,ORD000351,PROD0030,2,2669,5338
OI000534,ORD000352,PROD0021,1,549,549
OI000535,ORD000352,PROD0001,1,4529,4529
OI000536,ORD000353,PROD0008,1,4749,4749
OI000537,ORD000354,PROD0003,1,2559,2559
OI000538,ORD000354,PROD0002,1,3029,3029
OI000539,ORD000354,PROD0007,1,4319,4319
OI000540,ORD000355,PROD0023,1,2179,2179
OI000541,ORD000356,PROD0005,2,4119,8238
OI000542,ORD000356,PROD0028,1,569,569
OI000543,ORD000357,PROD0021,1,549,549
OI000544,ORD000358,PROD0024,1,889,889
OI000545,ORD000359,PROD0007,2,4319,8638
OI000546,ORD000359,PROD0005,1,4119,4119
OI000547,ORD000360,PROD0015,1,879,879
OI000548,ORD000360,PROD0014,1,2179,2179
OI000549,ORD000360,PROD0025,1,409,409
OI000550,ORD000361,PROD0002,1,3029,3029
OI000551,ORD000361,PROD0005,1,4119,4119
OI000552,ORD000362,PROD0010,1,2449,2449
OI000553,ORD000362,PROD0001,1,4529,4529
OI000554,ORD000362,PROD0037,1,189,189
OI000555,ORD000362,PROD0023,1,2179,2179
OI000556,ORD000363,PROD0026,1,319,319
OI000557,ORD000364,PROD0020,1,1939,1939
OI000558,ORD000364,PROD0007,1,4319,4319
OI000559,ORD000365,PROD0017,1,3049,3049
OI000560,ORD000365,PROD0037,1,189,189
OI000561,ORD000365,PROD0002,1,3029,3029
OI000562,ORD000365,PROD0001,2,4529,9058
OI000563,ORD000366,PROD0026,1,319,319
OI000564,ORD000366,PROD0020,1,1939,1939
OI000565,ORD000367,PROD0029,1,509,509
OI000566,ORD000367,PROD0005,1,4119,4119
OI000567,ORD000368,PROD0026,1,319,319
OI000568,ORD000368,PROD0031,1,1129,1129
OI000569,ORD000369,PROD0032,1,1119,1119
OI000570,ORD000369,PROD0006,1,3799,3799
OI000571,ORD000370,PROD0031,1,1129,1129
OI000572,ORD000371,PROD0034,1,629,629
OI000573,ORD000371,PROD0007,2,4319,8638
OI000574,ORD000372,PROD0038,1,459,459
OI000575,ORD000372,PROD0032,2,1119,2238
